strategy_type,params,avg_deflated_sharpe,avg_sharpe,avg_return,avg_trades,cv_scores
longs_only,"{'min_confidence_threshold': 0.5, 'max_entries_per_position': 3, 'position_size_pct': 0.07, 'stop_loss_atr_multiplier': 2.0, 'take_profit_atr_multiplier': 4.0, 'move_sl_to_be_coef': 2.5, 'sl_to_be_add_pips_coef': 3.5, 'rsi_period': 14, 'bb_period': 20, 'bb_std': 2.0, 'momentum_period': 14, 'volume_threshold': 1.0, 'breakout_threshold': 0.001, 'touch_tolerance': 0.001}",-5.550970016946329,7.289209708258466,0.08100814739069295,92.2,"[np.float64(-6.090270690134003), np.float64(-4.238927447937159), np.float64(-3.3838388127344934), np.float64(-7.310146767842761), np.float64(-6.731666366083229)]"
longs_only,"{'min_confidence_threshold': 0.5, 'max_entries_per_position': 3, 'position_size_pct': 0.07, 'stop_loss_atr_multiplier': 2.0, 'take_profit_atr_multiplier': 4.0, 'move_sl_to_be_coef': 2.5, 'sl_to_be_add_pips_coef': 4.5, 'rsi_period': 14, 'bb_period': 20, 'bb_std': 2.0, 'momentum_period': 14, 'volume_threshold': 1.0, 'breakout_threshold': 0.001, 'touch_tolerance': 0.001}",-8.462120135688208,8.3594424278245,0.11850335566643977,92.2,"[np.float64(-9.430491291555128), np.float64(-6.196818573431093), np.float64(-5.648643834429678), np.float64(-10.852444304211872), np.float64(-10.18220267481327)]"
longs_only,"{'min_confidence_threshold': 0.5, 'max_entries_per_position': 3, 'position_size_pct': 0.07, 'stop_loss_atr_multiplier': 2.0, 'take_profit_atr_multiplier': 4.0, 'move_sl_to_be_coef': 3.0, 'sl_to_be_add_pips_coef': 3.5, 'rsi_period': 14, 'bb_period': 20, 'bb_std': 2.0, 'momentum_period': 14, 'volume_threshold': 1.0, 'breakout_threshold': 0.001, 'touch_tolerance': 0.001}",-3.8923631671046635,6.552797068022107,0.06800255678531911,92.2,"[np.float64(-2.5568779772870074), np.float64(-3.117897071458257), np.float64(-2.709629094562527), np.float64(-6.088201849241945), np.float64(-4.989209842973582)]"
longs_only,"{'min_confidence_threshold': 0.5, 'max_entries_per_position': 3, 'position_size_pct': 0.07, 'stop_loss_atr_multiplier': 2.0, 'take_profit_atr_multiplier': 4.0, 'move_sl_to_be_coef': 3.0, 'sl_to_be_add_pips_coef': 4.5, 'rsi_period': 14, 'bb_period': 20, 'bb_std': 2.0, 'momentum_period': 14, 'volume_threshold': 1.0, 'breakout_threshold': 0.001, 'touch_tolerance': 0.001}",-6.19604715838013,7.536171126708888,0.09907137367999823,92.2,"[np.float64(-4.8736969515827635), np.float64(-4.6207508461945075), np.float64(-4.59544525937797), np.float64(-9.153741327531618), np.float64(-7.736601407213796)]"
longs_only,"{'min_confidence_threshold': 0.5, 'max_entries_per_position': 3, 'position_size_pct': 0.1, 'stop_loss_atr_multiplier': 1.5, 'take_profit_atr_multiplier': 2.5, 'move_sl_to_be_coef': 2.5, 'sl_to_be_add_pips_coef': 3.5, 'rsi_period': 14, 'bb_period': 20, 'bb_std': 2.0, 'momentum_period': 14, 'volume_threshold': 1.0, 'breakout_threshold': 0.001, 'touch_tolerance': 0.001}",-5.499118665428837,7.289863579075063,0.06815357374842093,92.2,"[np.float64(-5.096375886607964), np.float64(-4.061886022941119), np.float64(-7.051553222333637), np.float64(-5.160449484658364), np.float64(-6.125328710603096)]"
longs_only,"{'min_confidence_threshold': 0.5, 'max_entries_per_position': 3, 'position_size_pct': 0.1, 'stop_loss_atr_multiplier': 1.5, 'take_profit_atr_multiplier': 2.5, 'move_sl_to_be_coef': 2.5, 'sl_to_be_add_pips_coef': 4.5, 'rsi_period': 14, 'bb_period': 20, 'bb_std': 2.0, 'momentum_period': 14, 'volume_threshold': 1.0, 'breakout_threshold': 0.001, 'touch_tolerance': 0.001}",-8.571916758107774,8.41867039698074,0.10781471900211845,92.2,"[np.float64(-8.174639927250464), np.float64(-5.949777332799199), np.float64(-9.5231908179033), np.float64(-8.95114503574343), np.float64(-10.26083067684248)]"
longs_only,"{'min_confidence_threshold': 0.5, 'max_entries_per_position': 3, 'position_size_pct': 0.1, 'stop_loss_atr_multiplier': 1.5, 'take_profit_atr_multiplier': 2.5, 'move_sl_to_be_coef': 3.0, 'sl_to_be_add_pips_coef': 3.5, 'rsi_period': 14, 'bb_period': 20, 'bb_std': 2.0, 'momentum_period': 14, 'volume_threshold': 1.0, 'breakout_threshold': 0.001, 'touch_tolerance': 0.001}",-3.758978345531047,6.500743120062023,0.05437261604470021,92.2,"[np.float64(-2.5639650758733263), np.float64(-2.5406871550919945), np.float64(-5.822719020934169), np.float64(-3.8858127415134596), np.float64(-3.981707734242282)]"
longs_only,"{'min_confidence_threshold': 0.5, 'max_entries_per_position': 3, 'position_size_pct': 0.1, 'stop_loss_atr_multiplier': 1.5, 'take_profit_atr_multiplier': 2.5, 'move_sl_to_be_coef': 3.0, 'sl_to_be_add_pips_coef': 4.5, 'rsi_period': 14, 'bb_period': 20, 'bb_std': 2.0, 'momentum_period': 14, 'volume_threshold': 1.0, 'breakout_threshold': 0.001, 'touch_tolerance': 0.001}",-6.293552759455255,7.589585274710399,0.08847155713251649,92.2,"[np.float64(-5.134472184788311), np.float64(-3.9834476550949955), np.float64(-7.884752872915244), np.float64(-7.207017820875911), np.float64(-7.258073263601817)]"
longs_only,"{'min_confidence_threshold': 0.5, 'max_entries_per_position': 3, 'position_size_pct': 0.1, 'stop_loss_atr_multiplier': 1.5, 'take_profit_atr_multiplier': 3.0, 'move_sl_to_be_coef': 2.5, 'sl_to_be_add_pips_coef': 3.5, 'rsi_period': 14, 'bb_period': 20, 'bb_std': 2.0, 'momentum_period': 14, 'volume_threshold': 1.0, 'breakout_threshold': 0.001, 'touch_tolerance': 0.001}",-6.77086996564479,7.793664130397386,0.07577233023116167,92.2,"[np.float64(-6.9321986928153345), np.float64(-5.128272046513992), np.float64(-7.86992223400827), np.float64(-7.069596508663696), np.float64(-6.854360346222658)]"
longs_only,"{'min_confidence_threshold': 0.5, 'max_entries_per_position': 3, 'position_size_pct': 0.1, 'stop_loss_atr_multiplier': 1.5, 'take_profit_atr_multiplier': 3.0, 'move_sl_to_be_coef': 2.5, 'sl_to_be_add_pips_coef': 4.5, 'rsi_period': 14, 'bb_period': 20, 'bb_std': 2.0, 'momentum_period': 14, 'volume_threshold': 1.0, 'breakout_threshold': 0.001, 'touch_tolerance': 0.001}",-9.642898548231113,8.775194243935678,0.11432184046017484,92.2,"[np.float64(-9.721954323492149), np.float64(-6.9933320261425145), np.float64(-10.329932747052554), np.float64(-10.538686875571267), np.float64(-10.630586768897082)]"
